Product,Manufacturer/Designer,Max Channels,Pixel Types,Max Voltage,Max LED Current,Parent,Unit Price (USD),Output Connectors,,Outputs,DIY/OTS,Notes,Product URL,
QuinLED-Dig-Quad,Quindor / Intermittent Technology,4,Single or Clocked,24V,30A,ESP8266 or ESP32,$38,Screw Terminals,,Both,Both,DIY or Pre-Assembled,https://quinled.info/quinled-dig-uno/,
WLED wemos shield,SerKo,2,Single+Clocked,12V,10A,Wemos D1 Mini (ESP32/ESP8266),,Screw Terminals,,Both,DIY,Easy to assemble with TH parts,https://github.com/srg74/WLED-wemos-shield,
IP67 Controller for WLED,SerKo,2,Single+Clocked,12V,10A,ESP-07S module,,IP67 plug,,Both,DIY,Easy to assemble with TH parts,https://github.com/srg74/Controller-for-WLED-firmware,
ESP32 ThingPlus DMX to LED,Sparkfun,,Single+Clocked,12V,,ESP32 ,$20,Poke Home,,Both,OTS,"Isolated DMX , Artnet compatible",https://www.sparkfun.com/products/15110,
PiPixel,Tindie,1,Single or Clocked,24V,5A,Raspberry Pi,$9,Screw,,Both,OTS,,https://www.tindie.com/products/ManiacalLabs/pipixel-raspberry-pi-led-strip-hat/,
LED Octopus,Tindie,8,Single,5V,,Teensy 3.2,$34,Phoenix Screw,,Single,OTS,,https://www.tindie.com/products/EssenceEng/led-octopus/?pt=ac_prod_search&fbclid=IwAR0w77lL9NKRWRN5rjs89GbIYH6X89oUKeTyQUXs0GWmvsbt0Y-RF29wdO8,
4 Channel Differntial Transmitter,Wizard of Wire,4,single,12V,,Pixel Data,$15,Phoenix Screw,,,OTS,4 Channel differntial transmitter output to RJ45 fir connection with Cat5,https://www.wizardofwire.com/product/data-to-differential-board/,
Meanwell PDU with Differential Reciever,Wizard of Wire,4,single,12V,,Meanwell 350w PSU,$18,Phoenix Screw,,,OTS,4 Channel differential receiver and fused power distribution bolts straight on to PSU,https://www.wizardofwire.com/product/meanwell-differential-receiver-w-power-injection//,
ESP Level Shifter,,1,Single,5V,,ESP-01 (ESP8266),$9,,,,,,https://www.amazon.com/ACROBOTIC-ESP8266-Adapter-WS2812B-Raspberry/dp/B07JFCGH8C,
ESP Pixnode,,6,Single,5V,,NodeMCU (ESP8266),$13,,,,,,https://jboards.ecwid.com/ESPixNode-p127558674,
ESPArtstick,,6,Single,5V,,Wemos Dx Mini (ESP32/ESP8266),$25,,,,,,https://espartstick.ecwid.com/,
ESPixelstick,,4,Single,5V,,ESP8266,$30,,,,,,https://www.amazon.com/ESPixelStick-Wireless-DMX-Pixel-Controller/dp/B072XT1V77/,
QuinLED-Dig-Uno ,,6,Single,5V,,Wemos Dx Mini (ESP32/ESP8266),,Phoniex Screw,,,DIY,,https://quinled.info/2018/10/12/quinled-dig-uno-hardware-guide/#quinled-quad-pcb-boards,
SPIxels Board,,16,Clocked,5V,,Raspberry Pi,,JST,,Clocked,DIY,,http://spixels.org/,
PixelLauncher Gen 2 Micro,Digital Ambience,1,Single,24V,,,,Solder,,Single,OTS,LED data up to 250 ft right out of your controller No sender. It cleans up the signal.,https://www.digitalambiance.com/product/pixellauncher-gen-2-micro/,
