176,Developer,Price,Platform,Live,Designer,Visualizer,ArtNet,E1.31 sACN,DMX,KiNet,DDP,GPIO,Serial,Video,Audio,Programmatic,Language,Other Inputs,Other Outputs,Integrations,Notes,Demo/Free,Status,URL
Lightjams,Lightjams Inc,125 - 450,Windows,Yes,Yes,,Both,Both,Both,,,,,Both,Both,Both,,"MIDI,OSC,Spout,Syphon, Ambilight",,,ELM developed by same developer,Demo available,Active,https://www.lightjams.com/
LightMobile,RocketLife,Free,"iOS, Android",Yes,No,,,,,,,,,,,,,GPIO pins,Bluetooth/NFC to RocketLife hardware,LightBox&LightBoard Mini,"RocketLife controllers, serial/SPI pixels only",,Dead SEE Bekonix,https://www.rocketlife.com/technology/
Lumiastream,Lumiastream,Free- $30/month,Windows macOS,No,No,,Output,,,,,,,,Output,,,viewer controlled stream responsive control,"Tuya, Govee,Hue, Nano, etc home automation and ArtNet",Home Assistant,"Viewer control of IoT objects for streaming, aome integrated automation",Free  / premiumn Monthly,Active,https://lumiastream.com/
LX Studio / Chromatik,Mark Slee,Free,"Windows, macOS, Linux",Yes,Yes,3D,Both,Both,Both,Both,,Both,Both,Both,Input,Both,Java,Any,"DDP, OPC, Fadecandy",,Java. Next version (Chromatik) will no longer use the Processing graphics library.,Open source. Comercial applications require license,Active,https://lx.studio/
MadMapper,Smode Tech,$420,"Windows, macOS",,Yes,,Both,Both,Both,,,,,Input,,,,"MIDI,OSC,Spout,Syphon,NDI","MIDI, OSC, EtherDream, Arduino",,,,Alive,https://madmapper.com/madmapper/ 
MADRIX 5,Inoage,330+,Windows,Yes,Yes,,Both,Both,Both,Output,,,,Both,Both,,,"MIDI, HTTP, MA-net, CITP, SMPTE, Spout, GamePort","DVI, Robe, Insta, Hue",,GPIO available with Madrix Orion external box,Demo no data out,Alive,https://www.madrix.com/products/software
MagicQ,Chamsys Systems,Free 64 universes,"Windows, macOS, Linux",Yes,Yes,3D,Both,,,,,,,,,,,,,,"MagicQ Professional stage lighting console with Pixel Mapping ability, software version of hardware console",Demo 64 Universes via ArtNet,Alive,https://chamsyslighting.com/
Mapio Pro,Vistitution,$234,"Windows , macOS",Yes,Yes,,Output,No,No,No,,,Output,Both,Output,,,Native support for PixelPusher devices,,,Mapio Pro has support for addressable LEDs,Watermarked demo,Alive,https://visution.com/
Millumin,Anomes SARL,39/week +,macOS,Yes,,,Both,Both,Output,,,,,Possible,,,,,,,,30 day trial,Active,https://www.millumin.com//
Pixelblaze,ElectroMage,$39,Pixelblaze (in-browser),Yes,Yes,3D,,,,,,Both,,,Input,Both,JS subset,"Websockets, ADC",Direct or expansion board 8-64 channels,"Home Assistant, Hubitat, Pixelblaze","Includes 2D/3D mapping, sound reactive, and scriptable pattern UI controls",w/PixelBlaze purchase,Active,https://electromage.com/pixelblaze/
ProtoPixel Create,ProtoPixel,$176,macOS,Yes,Yes,2D,Both,,,,,,,Input,Both,Input,,"OSC, NDI, Syphon, UDP","ProtoPixel proprietary protocol, OSC, UDP",Python (scriptable),,Trial + watermark,,https://www.protopixel.io/design
QLC+,Massimo Calegari,FOSS,"Windows, macOS, Linux, Raspberry Pi",Yes,Yes,3D view available in V5,Both,Both,Both,,,Output,Output,,Input,Both,C++,"OSC, MIDI, Web API","USB, OSC",Supported MIDI/DMX Hardware List: https://www.qlcplus.org/discover/compatibility,Includes sound responsive features. Large fixture compatablity list. ,€15 Donation requested,Active,https://www.qlcplus.org/
Resolume,,$350,"Windows, macOS",Yes,Yes,,Both,,Both,,,,,Input,Input,,,"MIDI,OSC,Spout,Syphon",MIDI,,heavily integrated with VJ features,,Active,https://resolume.com/software
Smode,,Expensive,Windows,Yes,Yes,,Both,Both,Input,,,,Both,Both,Both,Both,,"MIDI, OSC, UDP, SMPTE, Spout, Game Port","OSC, MIDI, UDP, Spout, NDI",,This application is more of a game engine crossed with a volumetric mapping solution. 3D mapping,Free for SD card output,Active,https://smode.fr/
TouchDesigner,Derivative,Free/$600,"Windows, MacOS",Yes,Yes,"Yes, DIY",Both,Both,Both,Both,,Both,Both,Both,Both,Both,"Python, GLSL","MIDI, OSC, MQTT, NDI, Syphon/Spout, TCP, UDP, Ableton, SMPTE/LTC","MIDI, OSC, MQTT, NDI, Syphon/Spout, TCP, UDP, Ableton",Tons,"Visual programming environment with lots of useful built-ins. Not specifically for LED patterns, but they're easy to make with a little extra.",Free for non-commercial,Active,https://derivative.ca/
Vixen Lights,,Free,Free,No,Yes,,Output,Output,Output,,,,,,,,,,Renard,,"like xlights, initially developed for holiday light sequences",,,https://www.vixenlights.com/downloads/
WLED,"Aircoookie, community",FOSS,ESP8266/ESP32,Yes,No,Limited 1D,Input,Input,Output,,Input,Possible,Input,,,,C++,UDP Sync,"ws281x protocol, APA102, etc.","Home Assistant, WLED App.","Great standalone pixel controller software for ESP8266 and ESP32 based boards. See also: WLED-SR, sound reactive fork",Open source,Active,GitHub - Aircoookie/WLED: Control WS2812B and many more types of digital RGB LEDs with an ESP8266 or ESP32 over WiFi!
xLights,,Free,"Windows, macOS, Linux",No,Yes,,Output,Output,Output,,,,,,Both,,,"Audacity plug-in,MIDI,video files","LOR, DDP",,"originally Nutcracker, developed for holiday light shows  as a sequencer, spread beyond , continually developed.",,Active,https://www.xlights.org
"FastLED ""FX"" engine",Zach Vorhies,Free,ESP/AVR/NRF/RP/Browser,No,Yes,Browser wasm Preview,,,,,,,,,,,,,,,,,,
