,URL,Color Rendition,Light Transmission,Flexible/Rigid,Purpose Made ?,Properties,Fire Retardent?,Tinted/Clear,Sample thickness (inches),Diffusivity,Sizes Available,Material Type,$$$$,Usage Notes
LD45 Plaztazote,https://www.theplasticshop.co.uk/LD45-45kg-foam-sheet.html,3,4,F,N,Backlight,N,T,,,2000mm wide,Closed Cell LDPE foam,$$,"Sheet and in pool noodle form, flexible suitable diffuser for wearables"
Lumieo 2,https://alpadvantage.com/products/lumieo-ii/,3,4,R,Y,Diffusive,Y,T,2mm,4,,PMMA,$$$$,premium white acrylic sheet which provides both high transmission and excellent lamp hiding capabilities
Poly Pro Pipe Thin Wall ,https://www.omega.co.uk/pptst/TYPP.html,3,4,F,N,Diffusive,,,3.200,2,,PP Poly Propylene,$$,"Semi Transparent in natural , also in tints, available from Hula Hoop suppliers"
Polyethelene ,https://www.mcmaster.com/polyethylene-sheets/moisture-resistant-polyethylene-hdpe-sheets-bars-and-strips/thickness~0-04inches/,3,4,F,N,Diffusive,Y,T,0.040,2,,HDPE,$$,Regular high density polyethelene sheet
Oyumaru,https://www.amazon.com/Hinodewashi-Oyumaru-Monochromatic-OO-250C-Clear/dp/B00MG5PYPI,3,4,F,N,Diffusive,N,T&C,,3,,Ethelyne Copolymer,$$,"Hot water mouldlble rubber,flexible.  when set  and possible to mould round single LEDs into shapes , useable as a mould for ploymorph as well"
Expanding Cable Braid,https://www.newegg.com/p/38Y-00AA-00037,3,2,F,N,Diffusive,,,,4,,PET,$$,"White , Black and colours, patterns, Diffuser for tape and strings"
Pool Noodle ,https://www.amazon.com/Oodles-Noodles-Deluxe-Foam-Pool/dp/B01LZ8FAHO?th=1,3,3,F,N,Diffusive,,,,4,,PE Closed cell foam,$$,See slo Plastazote and Foam Backer Rod
Vinyl Dryer Hose,https://www.walmart.com/ip/4-x-5-Vinyl-Dryer-Vent-Hose-PartNo-D04051-JonesStephens/994124574,3,3,F,N,Diffusive,,,,4,,PVC Wire reinforcement,$$,"Typically 4"" diameter, use bubble wrap or spacers to keep LED string centred"
Silicone Sealant,https://www.zotefoams.com/product/azote/plastazote/,3,2-4,F,N,Diffusive,,,variable,4,"4-8mm, 40x80""",XLPE,$$,Great for costumes - search Etsy
Hot Melt Glue,https://www.gluegunsdirect.com/service-and-advice/hot-melt-adhesive/,3,3,R,N,Diffusive,N,T,,4,,EVA,$$,Shorter working time than silicone similar applications
Instamorph/ Polymorph,https://www.instamorph.com/,3,,R,N,Diffusive,N,T,,4,,PCL Poly Capro Lactone,$$,"Hot water mouldable plastic, very rigid when set  and possible to mould round single LEDs into shapes"
Printer Paper,,2,2,F,N,Diffusive,N,,0.004,3,,Wood Pulp,$,"Pretty good diffusion for thickness, organic texture"
PEX Pipe,https://www.homedepot.com/b/Plumbing-Pipe-Fittings-Pipe-PEX-Pipe/N-5yc1vZ1z18i33,2,2,F,N,Diffusive,,,3.200,4,,Ethelyne Copolymer,$$,"Christmas light leaping arches, linear 360 diffusion"
Polyester Pillow Fill,https://www.amazon.com/Fairfield-Poly-Premium-Fiber-32-Ounce/dp/B004ALQ0M2,2,3,F,N,Diffusive,Y,T,,5,,Polyester fibre,$$,Clouds and rocket plumes
Polymer Clay,https://www.jessamatutorials.com/translucent-polymer-clay.html,2,2,R,N,Diffusive,,,,3-4,,PVC,$$,"Oven hardening ,Fimo, Sculpey , Primo available in transparent and translucent , dyeable with alchohol inks"
Perspex Diffuse,https://perspex.com/news/pom-diffuse/,,2 - 5,R,Y,Backlight,Y,T&C,,,upto1220x 2440,PMMA,$$$$$,
Faux Fur,https://en.wikipedia.org/wiki/Fake_fur,,4,F,N,Backlight,N,T,,,1200mm wide,"Polyester,Acrylic",$$$,White long pile faux fur
Fabric,,,,F,N,Diffusive,N,T,,,,,,Not tested yet
